"Mo","Nb","Ta","V","W","sph_1","sph_2","sph_3","sph_4","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0,0.7,0,0.3,0,1.5707963267949,0.579639740363704,1.5707963267949,0,76,-1.36743134896539,-1.44303873234718,-1.48994156112545,0.340195580703719,-0.610841560060802,0.0240570554376115,0.00131728903189832,0.00136844681062126,0.000478354804388215,9.32371800157232e-05
0,0.7,0,0,0.3,1.5707963267949,0.579639740363704,1.5707963267949,1.5707963267949,77,-0.279407370578002,-0.373898310628334,-0.531940512033934,-0.532771129001089,-0.361404882233776,0.00124774901419679,0.000142850147777115,9.79184840823768e-05,0.000119617059933228,0.000299284474800734
0,0.6,0.4,0,0,1.5707963267949,0.684719203002283,0,0,78,1.64624138908855,-0.450724412839606,-0.571900762434578,0.37165742957602,1.782540131768,0.000256796901248884,5.45734072607829e-05,9.45557776832414e-05,0.000175752101380721,0.000818388290999818
0,0.6,0,0.4,0,1.5707963267949,0.684719203002283,1.5707963267949,0,79,-1.76823772290425,-1.55717544218622,-1.5769104071066,0.471002597694058,-0.617038723969038,0.0544179980368228,0.00298971325046177,0.00319524327842617,0.000676464526293161,0.000348284287120635
0,0.6,0,0,0.4,1.5707963267949,0.684719203002283,1.5707963267949,1.5707963267949,80,-0.423919017557322,-0.200075647114557,-0.317758436238817,-0.495508509803092,-0.431449786463774,0.000987301255803783,0.000176995321982075,0.000116656204154468,0.00018610507239396,6.34219557888554e-05
0,0.5,0.5,0,0,1.5707963267949,0.785398163397448,0,0,81,1.82748826984258,-0.382634266225327,-0.397241128154496,0.853675911864247,2.16640528294963,0.00473301029833206,0.00125707372087552,0.00261751384027872,0.00595202095951202,0.0165852228389439
0,0.5,0,0.5,0,1.5707963267949,0.785398163397448,1.5707963267949,0,82,-1.8111078971372,-1.5415581529253,-1.55699334434403,0.502302849226304,-0.644069608988323,0.0104614478848005,0.000582225184604525,0.000668034866496956,0.000109329520212772,0.00011890998189889
0,0.5,0,0,0.5,1.5707963267949,0.785398163397448,1.5707963267949,1.5707963267949,83,-0.42440395444065,0.079182880949001,-0.00711038152413753,-0.530804386131754,-0.447171251507553,0.0083151984641678,0.00455030635491563,0.00405357765557141,0.00161826731503818,0.000997075963507214
0,0.4,0.6,0,0,1.5707963267949,0.886077123792614,0,0,84,2.05214336384612,-0.27582367853177,-0.141917134804852,1.48598351873669,2.67106060732776,0.00182103289901987,0.000651909891915874,0.00157399102196915,0.00378154464957558,0.00585561969667033
0,0.4,0,0.6,0,1.5707963267949,0.886077123792614,1.5707963267949,0,85,-1.95086482738498,-1.53193123765032,-1.54181810662105,0.491902488101213,-0.681425293245628,0.00656192350553682,0.000373600192118483,0.000424101552163181,0.000106723709507679,0.000131654336560595
0,0.4,0,0,0.6,1.5707963267949,0.886077123792614,1.5707963267949,1.5707963267949,86,-0.255950633084761,0.407959026256336,0.337110988082512,-0.623195286350358,-0.388139173163405,0.00472398573244259,0.00128567457566404,0.000977770905407069,0.000548907900463791,0.00113010384917462
0,0.3,0.7,0,0,1.5707963267949,0.991156586431192,0,0,90,2.08177382445281,-0.272792741441906,-0.0348382277942869,1.89771406118355,2.80905118755232,0.00358912913656487,0.00153897545113298,0.00399161896650858,0.0106062680927312,0.0145007560684067
0,0.3,0,0.7,0,1.5707963267949,0.991156586431192,1.5707963267949,0,91,-2.14891456307831,-1.51005518370345,-1.52898271359168,0.440993293040502,-0.703896876445445,0.082792262996395,0.00474711103135881,0.00487442796305224,0.00198902604126803,0.00231818250339938
0,0.3,0,0,0.7,1.5707963267949,0.991156586431192,1.5707963267949,1.5707963267949,92,-0.23249284103438,0.724638826426071,0.678340064807257,-0.687968130652411,-0.35964038887871,0.00652591483430194,0.00218986529017462,0.0017883297357237,0.000794219385824454,0.00180899098750712
0,0.2,0.8,0,0,1.5707963267949,1.10714871779409,0,0,94,2.34390966433751,-0.100416008186007,0.36611770989597,2.81317693020653,3.47002433279212,0.00300332275969676,0.0018999247352396,0.00546452466495557,0.0163333630630693,0.0181654792339767
0,0.2,0,0.8,0,1.5707963267949,1.10714871779409,1.5707963267949,0,95,-2.15859274242731,-1.41968577279386,-1.4754780030869,0.31390466586654,-0.744511256616078,0.00608690147667506,0.00036849667908902,0.000342673848244567,0.000265188043471731,7.00789210633716e-05
