alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.2_0_0_0_0.8_1,62,2.7175739283527,-3.09665819214394,8.15697654408915,4.39436149818722,-0.284887643799299,-0.0347487743795677,-0.000439249777482517,-0.00132455465457435,0.365692191343744,380.958736454252,14.9885468880646,1.67024141498824,MoW,0.2,0,0,0,0.8,1,0,62
0.2_0_0_0_0.8_2,62,2.72065066636443,-3.08347118786198,8.25354416450877,4.43930491244354,-0.29346296695221,-0.0359040709009802,-0.00305732759962589,-0.0046410010353441,0.374981637734433,381.777432980886,15.1245138795419,1.69151617695624,MoW,0.2,0,0,0,0.8,2,0,62
0.2_0_0_0_0.8_3,62,2.71945886013387,-3.0878475624618,8.21934117092337,4.42224969176895,-0.292265684652599,-0.0361874943275224,-0.00130083840563378,-0.00154595007976782,0.371781339099491,380.961199473635,15.0765107207303,1.70232350079348,MoW,0.2,0,0,0,0.8,3,0,62
0.333333333333333_0.333333333333333_0.333333333333333_0_0_1,43,2.23383753288008,-2.64507540194082,5.84509293757382,2.8071295399416,-0.554341160073429,-0.103155554591258,-0.000620975926068856,0.00910598030711185,0.413157828160808,193.033096577354,9.22331474929045,1.40965288894451,Mo_Nb_Ta,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0,43
0.333333333333333_0.333333333333333_0_0.333333333333333_0_1,44,2.20211465041577,-2.78062089393705,5.04841730874709,2.66027254798741,-0.24360556761365,-0.0345946381380518,-0.00438885514897364,-0.00443480615445789,0.311205532280801,179.65697096099,8.97854688285776,1.23051376673051,Mo_Nb_V,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1,0,44
0.333333333333333_0.333333333333333_0_0_0.333333333333333_1,45,2.42405243370015,-3.02002496612304,6.29400475964541,3.3085196672202,-0.309335369515652,-0.0486824608184103,-0.00358007174931348,-0.00477420757556323,0.304912876925854,280.42697972635,11.1564511122948,1.73027482652247,Mo_Nb_W,0.333333333333333,0.333333333333333,0,0,0.333333333333333,1,0,45
0.333333333333333_0_0.333333333333333_0.333333333333333_0_1,46,2.17115190947415,-2.65926003693278,5.01461785120704,2.59692970218274,-0.288890386740873,-0.060296214110995,-0.0130013490376842,-0.00777254421797031,0.349293131312021,159.530708507229,8.63747796618581,2.17471977907867,Mo_Ta_V,0.333333333333333,0,0.333333333333333,0.333333333333333,0,1,0,46
0.333333333333333_0_0.333333333333333_0_0.333333333333333_1,47,2.42232040749112,-2.94124408826992,6.36608717495312,3.32226605545577,-0.319311651101684,-0.0536051170874576,-0.00938527842508104,-0.00272149699980532,0.333883058649509,261.202223502017,11.2094642074598,1.38440060173403,Mo_Ta_W,0.333333333333333,0,0.333333333333333,0,0.333333333333333,1,0,47
0.333333333333333_0_0_0.333333333333333_0.333333333333333_1,48,2.5200507877446,-2.84386992424475,6.91626802171001,3.65508169200674,-0.322381061683658,-0.0467712194038106,-0.00711797932285382,-0.00171939449932189,0.400056068142915,259.404750740055,12.3537673663161,0.690194033394922,Mo_V_W,0.333333333333333,0,0,0.333333333333333,0.333333333333333,1,0,48
0.379867673301018_0.452048805094202_0.0375305434025656_0.108994048771415_0.0215589294307989_1,42,2.32469300989213,-3.00376444525127,5.74431684432597,2.95765806200829,-0.280795444381925,-0.0476728493920358,-0.00156914386335538,-0.00544438400196315,0.28286980336213,247.59616206768,10.0727124195464,1.72227590532746,MoNbTaVW,0.379867673301018,0.452048805094202,0.0375305434025656,0.108994048771415,0.0215589294307989,1,3,42
0.379867673301018_0.452048805094202_0.0375305434025656_0.108994048771415_0.0215589294307989_2,42,2.32975079765145,-2.96423360649462,5.90951730967697,3.01744949054506,-0.321156292254868,-0.0601663688935672,-0.00563990360813884,-0.00821966586034056,0.302857119698576,247.801670323662,10.2022267894789,1.70786206369585,MoNbTaVW,0.379867673301018,0.452048805094202,0.0375305434025656,0.108994048771415,0.0215589294307989,2,3,42
