"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0,0.3,0,0,0.7,92,-0.27444366179445,0.678769595467279,0.62892689000639,-0.635118643073789,-0.3919186302347,-5.04850871436007,-6.17853931708609,-6.39410295112479,-7.2951674922697,-6.41141741502247
0,0.1,0.9,0,0,97,2.53913697602612,0.0910876810405767,0.821103081783699,3.65233342735732,3.96562540777057,-5.76219934335206,-5.94878934702875,-4.79592477518516,-3.78210940205347,-4.02733137291196
0,0.1,0,0.9,0,98,-1.63052426980018,-1.21212456170929,-1.3114083528392,-0.0115276450739051,-0.797858465262969,-4.02314654284028,-6.90218751258758,-7.37128901158862,-6.43317952732915,-8.68722727729884
0,0.1,0,0,0.9,99,-0.132755601648333,1.43584885421115,1.41012074716312,-0.819036344387989,-0.183628138912822,-8.17090614941185,-8.87774724943554,-8.99043074692414,-10.7548288965123,-8.48602088176535
0,0,0.9,0.1,0,101,1.74069567223789,-0.557355175205487,-0.063189799495701,2.35472113321288,1.49192744956841,-3.73425137715824,-4.63707094397223,-3.66835262644365,-3.16115306216345,-3.99661958301317
0,0,0.9,0,0.1,102,1.58338609175636,-0.319990044850534,0.0275009080444124,1.891930321273,1.88687666273005,-4.34581219049739,-5.22555396567692,-4.3263197329137,-3.7130990417387,-3.63167951476303
0,0,0.7,0.3,0,105,0.315661147849165,-1.22693081906386,-0.936030585392097,1.38445599585532,-0.167465265777111,-5.04051240194958,-6.83226384614645,-6.1948053563774,-7.03147711521353,-10.237653459117
0,0,0.5,0.5,0,109,-0.789767619387617,-1.43144162102246,-1.22587497069465,1.06371576208581,-0.668973594218754,-7.53913220585014,-9.74415901752107,-9.22116583371003,-13.5132833206155,-9.06573388537804
0,0,0.5,0,0.5,110,0.250531561988014,0.279505098334773,0.364638881959152,0.261334163225854,-0.0745326367533601,-8.32482904641253,-9.56239562089466,-9.33709545922562,-14.8998234840936,-10.8095887527321
0,0,0.3,0.7,0,114,-1.82687109269071,-1.46212146050443,-1.36421573915895,0.688230795079829,-0.833463053282139,-4.04878940144781,-6.65706039023556,-6.42958450328586,-8.99152797168439,-6.82556238737178
0,0,0.3,0,0.7,115,-0.110277769288716,0.74934840717147,0.816126967358296,-0.188436999507549,-0.364232757110213,-6.00938838163826,-6.88605296821645,-6.84652717855981,-9.072455521273,-10.5846275573474
0,0,0.1,0.9,0,118,-1.82116561394691,-1.24742703430961,-1.29229468064479,0.113472395128454,-0.853417511406693,-8.30303035758971,-10.9129607174222,-11.235489688098,-10.7916243734629,-12.3544911710309
0,0,0.1,0,0.9,119,-0.0651906325946459,1.48743891299166,1.51322278011115,-0.690454649791259,-0.184612186449831,-8.19803850133485,-8.84659157382322,-8.94927103659067,-10.7227438860175,-8.62080322128764
0,0,0,0.9,0.1,121,-0.616589963327715,-0.789582618030058,-0.924490667354503,-0.380109131065644,-0.731038864324696,-4.01995462840251,-6.44918164173632,-7.1238143606384,-6.00721828267446,-7.11880490023883
0,0,0,0.7,0.3,123,-0.47614917652629,-0.384787545725399,-0.404701268959935,-0.154295653598455,-0.931328809914587,-3.78039856319451,-5.63910863217979,-5.88463889730618,-5.83954333356542,-9.210996255284
0,0,0,0.5,0.5,125,-0.157210384538043,0.180912820318983,0.261726078512829,-0.131622027639924,-0.981007671787597,-3.64816968676872,-4.97592452155849,-5.11121355011767,-5.84140435831252,-6.81375797565153
0,0,0,0.3,0.7,127,-0.0844015173833572,0.776433134930545,0.877937940570149,-0.279421857953112,-0.828249368027204,-8.18645539261979,-9.21906205760951,-9.36601765409878,-9.49820475181366,-9.07097743084958
0,0,0,0.1,0.9,129,-0.0334724751486121,1.47819630543618,1.54556386001166,-0.662074196138746,-0.367338268816379,-6.07346473521734,-6.73646558554682,-6.8962267718339,-7.75531217446738,-8.94648508467457
